EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,SELL_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,SELL_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,SELL_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,SELL_BO_MIN_MARGIN_PER,BUY_BO_SL_RANGE_MAX_PERC,SELL_BO_SL_RANGE_MAX_PERC,BUY_BO_SL_RANGE_MIN_PERC,SELL_BO_SL_MIN_RANGE,BUY_BO_PROFIT_RANGE_MAX_PERC,SELL_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,SELL_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE
NSE,D,35222,NA,OPTIDX,26000,NIFTY,NIFTY-Dec2025-30000-PE,NIFTY 24 DEC 30000 PUT,OP,NA,75,########,30000,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35229,NA,OPTIDX,26000,NIFTY,NIFTY-Jun2026-30000-CE,NIFTY 25 JUN 30000 CALL,OP,NA,75,########,30000,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35231,NA,OPTIDX,26000,NIFTY,NIFTY-Jun2026-30000-PE,NIFTY 25 JUN 30000 PUT,OP,NA,75,########,30000,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35235,NA,OPTIDX,26000,NIFTY,NIFTY-Dec2026-30000-CE,NIFTY 31 DEC 30000 CALL,OP,NA,75,########,30000,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35237,NA,OPTIDX,26000,NIFTY,NIFTY-Dec2026-30000-PE,NIFTY 31 DEC 30000 PUT,OP,NA,75,########,30000,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35262,NA,OPTIDX,26000,NIFTY,NIFTY-Jun2027-30000-CE,NIFTY 24 JUN 30000 CALL,OP,NA,75,########,30000,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35263,NA,OPTIDX,26000,NIFTY,NIFTY-Jun2027-30000-PE,NIFTY 24 JUN 30000 PUT,OP,NA,75,########,30000,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35269,NA,OPTIDX,26000,NIFTY,NIFTY-Sep2025-20250-CE,NIFTY 25 SEP 20250 CALL,OP,NA,75,########,20250,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35277,NA,OPTIDX,26000,NIFTY,NIFTY-Sep2025-20250-PE,NIFTY 25 SEP 20250 PUT,OP,NA,75,########,20250,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35346,NA,OPTIDX,26000,NIFTY,NIFTY-Dec2027-30000-CE,NIFTY 30 DEC 30000 CALL,OP,NA,75,########,30000,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35347,NA,OPTIDX,26000,NIFTY,NIFTY-Dec2027-30000-PE,NIFTY 30 DEC 30000 PUT,OP,NA,75,########,30000,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
